-2.8981	-2.3896	-1.9852	-0.33206	-0.51456	0.29901	-0.98565	-0.16687	-0.11702	1.5969
-1.1485	-0.68908	0.2091	1.2251	-0.56649	0.73201	-0.26126	0.2863	0.94974	0.063658
1.4654	0.43601	0.69522	-0.043116	-0.45706	-0.63667	0.114	0.091814	0.78745	0.94112
-1.6764	-1.4342	0.9449	1.6462	1.6357	1.2304	-0.41596	1.4929	-0.36647	-0.39698
0.66125	1.359	-0.19315	0.076155	0.37413	0.13361	-0.4061	0.60128	0.47055	-1.0602
0.21679	1.2734	0.75136	-0.56205	0.47076	-0.14797	-0.44117	0.68187	-0.56547	1.2839
0.34309	2.7718	0.34791	-2.3974	-0.19162	0.68753	-0.12535	-2.65	0.76192	0.86092
-0.67774	-0.72915	-1.2564	0.3238	-0.68491	0.3291	0.93573	-1.3075	0.34005	-0.61935
1.6502	1.8628	-0.4076	-0.63571	0.32567	0.45482	0.95323	0.22182	0.33563	-1.2307
1.1197	0.62947	-1.7478	0.5599	-0.23564	1.0476	0.44513	-0.56153	-0.1838	-1.8137
-0.60433	-0.73932	0.33213	2.0916	0.86107	-0.45442	0.34542	0.003798	0.11857	0.14918
-0.77197	2.5607	0.94324	0.56222	-1.4001	-1.4554	-1.7236	-0.7821	0.45516	-0.30137
-1.64	-1.4573	-0.36929	-1.5779	-0.7204	-1.1903	-0.45439	-1.1578	0.28371	0.98456
0.45003	1.6233	1.1422	-1.1576	-0.15761	-0.50764	0.95289	2.4453	0.33808	-0.57144
0.42905	-0.44035	-1.2894	2.39	0.40894	-0.090353	0.68756	-0.45958	-0.1981	-0.65208
1.4009	0.57582	0.29418	0.28164	-0.28494	1.1439	0.469	-0.26978	1.0656	2.2158
-1.6924	-2.0015	1.8263	-0.11311	-0.86773	0.68492	-0.29332	-0.19271	-0.44931	-0.26839
0.56993	0.94363	0.19773	-0.39545	-1.1189	1.3722	-0.15855	0.32033	0.25759	1.8707
-0.63228	-2.0906	1.0418	-0.16288	0.89866	-1.4766	-1.9788	0.9655	-1.8809	-1.4668
-0.63984	-1.1912	-0.12408	-1.2958	-0.07176	0.11969	0.2946	-0.10594	-0.93004	1.0701
